crop,season,soil_type,soil_pH,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_percent,annual_rainfall_mm,temperature_avg_C,temperature_min_C,temperature_max_C,humidity_percent,sunshine_hours_per_day,irrigation_type,irrigation_frequency_days,fertilizer_N_applied,fertilizer_P_applied,fertilizer_K_applied,pesticide_usage_kg_ha,area_under_cultivation_ha,farm_mechanization,crop_variety,plant_age_years,previous_year_yield,elevation_m,slope_percent,district_zone,yield_kg_ha
rice,Kharif,Laterite,5.19,325.71,18.17,149.47,2.15,3931.0,29.49,19.58,32.99,73.21,5.44,Canal,5,120.08,59.79,87.03,4.29,2.98,1,1,0.0,3467.0,267.5,14.41,Midland,3897.48
rice,Kharif,Laterite,5.4,205.46,16.57,108.86,2.55,3847.9,31.41,18.82,34.6,66.4,5.63,Drip,2,116.49,67.87,115.54,4.44,1.81,0,0,0.0,3383.4,18.1,32.64,Coastal,3530.97
rice,Kharif,Red Loam,4.99,138.09,26.02,215.39,3.42,3669.7,27.33,18.19,35.09,66.21,7.12,Drip,2,83.59,47.1,149.45,1.72,3.06,0,1,0.0,4220.1,84.8,26.81,Coastal,3663.25
rice,Kharif,Red Loam,5.58,318.01,50.08,140.84,2.5,3008.9,25.96,18.94,35.56,75.95,6.12,Canal,6,168.25,64.15,71.81,3.24,5.72,1,0,0.0,3364.5,245.3,32.57,Midland,3727.76
rice,Kharif,Red Loam,4.78,152.17,37.68,282.19,1.68,3388.1,27.64,20.01,35.52,75.2,5.46,Drip,2,169.49,53.83,66.31,1.0,9.41,1,0,0.0,3675.7,780.5,20.67,Malnad,3670.31
rice,Kharif,Laterite,4.55,158.97,23.41,114.65,2.1,3340.4,31.93,23.76,35.54,70.96,5.13,Canal,3,166.75,39.87,122.72,1.99,9.89,0,0,0.0,3850.0,565.1,33.35,Malnad,3386.91
rice,Kharif,Laterite,6.32,101.63,18.35,259.2,3.21,3848.6,31.92,18.89,35.51,83.49,6.31,Sprinkler,4,188.47,41.7,44.73,1.95,6.88,0,1,0.0,3661.0,208.8,0.35,Midland,3729.6
rice,Kharif,Clay Loam,4.84,122.64,45.53,164.86,3.26,3648.3,25.48,19.22,29.47,81.03,5.83,Drip,2,88.17,37.45,50.7,1.68,4.57,1,1,0.0,3166.5,743.7,11.39,Malnad,3686.25
rice,Kharif,Laterite,5.67,185.37,52.87,297.48,1.73,3846.1,28.57,19.28,35.64,70.38,6.45,Drip,1,111.39,47.33,135.1,1.06,1.02,1,0,0.0,4132.4,653.2,26.61,Malnad,3841.83
rice,Kharif,Clay Loam,4.89,224.97,59.7,229.95,3.17,3036.5,30.72,24.08,34.11,65.69,4.54,Canal,7,153.54,75.17,89.08,4.25,4.9,0,0,0.0,3187.7,944.1,11.69,Malnad,3621.24
rice,Kharif,Laterite,6.28,233.5,41.62,282.93,2.18,4005.9,25.24,21.16,28.85,84.57,6.14,Drip,1,114.44,38.77,50.39,2.84,9.94,1,1,0.0,3668.0,38.3,4.87,Coastal,3897.03
rice,Kharif,Red Loam,5.88,297.45,11.25,287.61,0.99,3571.4,31.2,22.48,34.31,71.19,5.81,Canal,3,119.31,39.75,129.67,0.94,6.99,1,1,0.0,3886.6,195.3,21.34,Midland,3717.15
rice,Kharif,Laterite,6.22,115.89,40.16,210.68,0.83,3410.8,31.69,23.38,35.91,83.24,3.61,Canal,3,161.11,53.27,53.99,2.96,8.2,1,0,0.0,4176.9,245.3,33.87,Midland,3521.16
rice,Kharif,Laterite,4.86,121.93,52.73,207.34,1.5,4018.4,30.03,18.81,34.94,84.49,6.36,Drip,2,83.72,38.91,132.86,4.09,3.15,0,1,0.0,3441.9,358.2,11.53,Midland,3709.85
rice,Kharif,Red Loam,5.63,119.74,58.58,286.02,3.32,4055.1,28.6,19.46,31.82,67.68,4.8,Drip,2,199.06,46.13,97.71,3.28,2.22,1,1,0.0,3820.6,262.4,32.73,Midland,4161.3
rice,Kharif,Clay Loam,6.23,339.88,38.35,230.1,3.12,3449.8,31.93,24.76,35.38,83.29,5.59,Drip,1,171.42,53.86,127.54,1.12,5.61,1,1,0.0,3306.5,840.2,30.25,Malnad,3931.84
rice,Kharif,Clay Loam,4.9,127.53,52.88,103.82,1.17,3295.1,27.73,23.04,32.93,79.75,4.17,Drip,1,78.75,44.6,104.94,1.64,8.54,1,0,0.0,3229.3,17.0,27.64,Coastal,3326.56
rice,Kharif,Clay Loam,4.58,103.7,19.98,150.0,2.11,4005.4,25.15,19.19,30.73,65.24,7.32,Canal,3,100.27,27.76,93.96,4.23,1.46,1,0,0.0,3921.6,732.4,22.44,Malnad,3439.97
rice,Kharif,Red Loam,5.32,228.52,44.76,194.52,1.31,3380.5,22.92,18.43,32.88,68.2,6.02,Canal,6,107.28,33.32,138.23,3.27,1.5,1,1,0.0,3741.3,545.7,21.65,Malnad,3685.0
rice,Kharif,Clay Loam,5.28,297.76,22.31,142.02,3.32,3031.1,24.17,19.05,31.21,81.99,4.27,Canal,3,111.71,51.46,101.82,2.91,5.71,0,1,0.0,3975.6,83.4,6.94,Coastal,3634.37
rice,Kharif,Laterite,5.15,226.75,27.33,298.73,1.77,3752.5,30.88,23.67,35.08,80.37,5.49,Sprinkler,4,67.06,73.11,104.49,3.9,0.6,1,0,0.0,3896.3,685.2,14.58,Malnad,3672.63
rice,Kharif,Red Loam,5.62,284.5,14.06,193.47,2.47,3354.4,31.53,22.96,34.8,67.91,5.67,Drip,1,86.96,21.84,102.33,2.89,1.85,1,1,0.0,4067.6,929.4,31.1,Malnad,3607.83
rice,Kharif,Laterite,5.39,254.91,52.53,131.03,2.1,3776.9,26.46,20.02,30.93,91.64,5.4,Drip,2,90.6,50.85,68.09,1.31,3.12,0,1,0.0,3025.4,368.1,31.45,Midland,3809.36
rice,Kharif,Clay Loam,5.84,226.81,55.24,92.41,3.0,3204.7,25.92,18.75,33.89,83.31,5.69,Drip,2,149.54,66.59,66.33,2.22,1.94,1,1,0.0,3389.9,656.8,24.83,Malnad,3709.56
rice,Kharif,Red Loam,6.39,185.84,40.15,245.03,3.25,3525.5,25.6,19.55,31.0,82.66,7.23,Drip,1,138.53,73.86,51.01,2.48,8.72,1,1,0.0,3767.9,23.7,3.7,Coastal,3831.16
rice,Kharif,Clay Loam,4.9,308.24,46.05,257.31,3.47,4037.3,27.2,19.62,33.51,82.24,4.84,Rainfed,0,167.93,25.57,125.73,0.63,5.23,1,0,0.0,4186.9,491.9,5.58,Malnad,4054.95
rice,Kharif,Clay Loam,6.25,284.14,19.24,146.55,2.14,3706.7,29.82,19.78,33.23,78.03,4.13,Canal,5,140.59,64.47,46.98,4.36,0.5,0,1,0.0,3074.3,42.9,2.92,Coastal,3752.6
rice,Kharif,Red Loam,5.19,104.69,11.08,275.43,1.08,4199.7,23.64,19.11,35.59,74.78,6.44,Canal,4,102.69,32.11,130.3,1.53,3.19,1,0,0.0,3472.2,401.6,34.65,Malnad,3717.62
rice,Kharif,Laterite,5.12,158.45,31.16,234.14,0.92,3448.7,25.46,18.85,33.39,72.83,5.93,Canal,5,90.41,35.99,58.77,0.73,6.38,1,0,0.0,3071.2,584.6,34.37,Malnad,3568.07
rice,Kharif,Laterite,6.46,122.12,51.11,163.29,1.19,3591.8,22.72,18.52,28.15,84.67,5.45,Canal,5,87.47,41.68,60.01,3.44,2.39,1,0,0.0,3545.9,624.1,18.92,Malnad,3445.18
rice,Kharif,Red Loam,6.14,282.4,37.03,272.95,3.04,3638.2,22.68,18.57,30.84,79.58,6.09,Drip,2,154.29,60.76,52.02,1.27,6.49,1,1,0.0,3729.5,118.7,6.7,Midland,3832.85
rice,Kharif,Red Loam,4.57,123.73,38.84,270.02,1.5,3040.7,29.09,24.06,32.63,75.42,4.13,Rainfed,0,74.89,58.89,146.43,3.21,9.86,1,1,0.0,3925.4,194.8,4.13,Midland,3468.67
rice,Kharif,Laterite,5.84,183.37,38.63,145.88,2.92,3374.9,27.35,18.12,34.82,81.75,4.27,Drip,1,96.75,54.59,100.31,1.6,7.09,1,0,0.0,3767.6,396.3,20.77,Midland,3562.54
rice,Kharif,Red Loam,5.17,182.45,50.99,122.83,2.28,3939.5,30.3,23.53,34.11,87.22,6.47,Drip,2,69.43,22.6,116.49,4.28,7.85,1,1,0.0,3938.3,289.4,23.72,Midland,3715.71
rice,Kharif,Red Loam,5.23,109.91,55.42,115.31,2.68,4047.8,25.1,20.58,30.72,86.44,3.78,Canal,5,154.8,49.49,115.58,4.19,7.47,1,1,0.0,4310.4,501.9,9.23,Malnad,3897.85
rice,Kharif,Laterite,6.34,192.01,55.85,173.13,3.11,3626.1,25.11,19.4,31.46,72.02,4.66,Drip,1,107.04,57.46,82.52,3.35,9.88,0,1,0.0,3958.5,155.9,13.73,Midland,3635.76
rice,Kharif,Laterite,5.25,304.66,41.18,290.67,3.24,3181.4,22.43,18.4,32.18,78.92,4.04,Drip,1,66.56,71.05,144.25,0.96,2.52,0,1,0.0,3382.9,910.8,9.16,Malnad,3731.44
rice,Kharif,Red Loam,6.4,124.97,49.93,153.59,1.82,3850.6,31.29,24.66,35.62,85.27,4.78,Sprinkler,4,169.83,52.0,99.04,3.54,8.26,0,1,0.0,3945.1,773.5,8.19,Malnad,3654.58
rice,Kharif,Laterite,5.65,327.16,11.77,261.83,2.17,4033.1,30.43,25.38,35.41,87.76,4.2,Rainfed,0,102.54,34.55,121.67,1.11,2.23,1,1,0.0,3512.6,831.6,4.88,Malnad,3913.13
rice,Kharif,Laterite,5.27,111.62,45.2,240.44,3.05,3582.6,31.69,26.85,35.41,77.01,3.51,Sprinkler,4,139.09,76.25,105.37,4.47,8.61,1,0,0.0,4039.2,141.9,27.89,Midland,3625.83
rice,Kharif,Laterite,5.66,127.38,35.09,284.85,2.17,3946.4,22.29,18.73,35.57,78.49,4.85,Canal,5,188.28,30.61,84.41,1.13,5.22,1,1,0.0,4174.0,391.9,19.84,Midland,3977.76
rice,Kharif,Clay Loam,4.83,225.73,27.84,138.62,3.43,3602.6,30.56,19.67,35.85,86.45,6.73,Drip,1,127.99,55.6,126.87,3.9,1.24,1,1,0.0,4083.0,563.2,6.54,Malnad,3741.15
rice,Kharif,Red Loam,6.13,121.68,40.35,186.29,3.35,3356.0,24.06,19.85,29.19,83.54,4.7,Canal,5,146.27,45.04,147.25,1.03,4.22,1,1,0.0,4258.5,386.9,3.4,Midland,3682.89
rice,Kharif,Red Loam,4.7,137.14,18.33,123.49,1.93,3748.7,28.29,18.0,35.63,87.22,7.36,Drip,1,153.07,30.08,129.87,1.15,3.6,1,1,0.0,3543.5,531.7,3.57,Malnad,3695.49
rice,Kharif,Clay Loam,5.68,243.08,15.58,124.06,1.48,3585.8,29.31,21.37,32.78,76.86,4.15,Canal,6,83.31,48.95,116.28,1.41,1.22,1,0,0.0,3417.9,558.4,26.37,Malnad,3623.75
rice,Kharif,Red Loam,4.81,277.23,42.63,271.91,1.05,3336.2,23.32,19.23,31.41,89.57,4.68,Canal,3,101.52,55.83,132.98,2.04,9.19,0,1,0.0,3006.7,698.9,9.59,Malnad,3720.97
rice,Kharif,Laterite,6.3,338.38,46.77,239.87,1.45,3088.7,30.02,22.49,35.05,86.05,5.14,Rainfed,0,80.24,67.7,89.91,3.81,4.66,0,0,0.0,3520.3,706.7,20.12,Malnad,3628.62
rice,Kharif,Laterite,5.08,197.11,35.03,118.14,1.86,3462.6,24.86,20.86,28.59,82.36,4.2,Drip,3,187.99,44.09,130.58,1.5,1.83,0,0,0.0,3529.2,377.5,13.05,Midland,3606.69
rice,Kharif,Clay Loam,4.54,222.42,32.41,93.21,1.16,3611.9,24.35,20.06,29.39,65.54,5.29,Drip,3,148.74,41.24,41.86,2.44,2.46,1,1,0.0,3996.8,252.0,2.41,Midland,3626.39
rice,Kharif,Laterite,4.74,172.95,42.83,261.63,1.67,3958.6,28.78,20.36,35.48,78.75,6.09,Canal,5,123.38,70.88,72.42,0.65,8.86,1,1,0.0,3077.1,176.2,23.64,Midland,3938.1
rice,Kharif,Red Loam,5.7,106.8,41.46,228.11,2.12,3210.0,23.01,18.32,31.72,82.34,3.51,Rainfed,0,159.55,62.76,88.9,1.87,8.5,1,1,0.0,3088.9,353.3,31.74,Midland,3577.77
rice,Kharif,Red Loam,4.84,316.61,37.59,278.93,0.81,3756.0,26.12,20.08,34.24,71.13,4.32,Canal,6,132.99,34.02,93.24,2.34,7.07,0,1,0.0,4179.4,575.4,26.09,Malnad,3748.77
rice,Kharif,Red Loam,4.7,184.21,13.42,256.62,2.98,3500.7,24.6,18.31,34.81,88.69,4.57,Drip,2,96.21,33.51,42.33,2.81,1.92,0,0,0.0,3245.6,298.1,23.42,Midland,3427.76
rice,Kharif,Laterite,5.01,118.53,24.74,269.12,2.66,4050.3,23.05,18.48,29.83,84.47,7.38,Drip,3,64.94,39.0,43.14,0.66,1.26,0,0,0.0,4019.1,380.4,14.17,Midland,3614.74
rice,Kharif,Laterite,5.75,242.94,17.7,267.5,1.69,3440.4,26.2,19.36,32.99,75.49,4.54,Drip,3,103.17,61.91,78.19,2.24,2.74,1,1,0.0,4224.4,21.1,2.11,Coastal,3721.71
rice,Kharif,Red Loam,4.78,263.42,33.8,243.53,0.88,3711.3,27.57,22.68,34.24,88.76,7.05,Canal,4,79.24,57.82,136.11,0.8,5.8,0,0,0.0,3786.9,645.7,23.86,Malnad,3780.19
rice,Kharif,Clay Loam,4.71,316.13,35.16,140.07,2.79,4073.3,28.9,23.46,33.06,72.8,6.96,Rainfed,0,146.08,34.05,97.66,3.24,2.58,1,0,0.0,3173.1,288.5,23.59,Midland,3849.5
rice,Kharif,Red Loam,4.92,185.35,38.72,114.17,2.1,3490.8,26.77,18.5,30.43,91.03,7.42,Sprinkler,3,170.46,59.35,52.86,1.69,3.48,1,1,0.0,4135.3,877.3,27.65,Malnad,3772.03
rice,Kharif,Clay Loam,5.17,153.75,38.59,231.71,1.84,4018.0,31.61,23.47,35.24,87.76,3.6,Canal,3,178.39,63.92,85.78,4.06,3.84,1,1,0.0,4215.8,175.1,9.97,Midland,3907.3
rice,Kharif,Red Loam,6.29,125.04,40.83,154.75,2.97,3707.8,25.88,21.82,29.35,80.6,7.46,Rainfed,0,156.73,64.39,43.53,0.59,0.84,1,1,0.0,3168.5,317.8,10.18,Midland,3737.68
rice,Kharif,Laterite,6.0,316.57,47.34,222.22,2.87,3886.2,26.76,19.6,31.52,83.34,7.34,Drip,2,187.75,20.85,127.39,3.91,6.49,1,1,0.0,3725.9,228.5,7.55,Midland,4164.59
rice,Kharif,Laterite,5.23,168.47,19.92,123.71,1.15,3733.0,28.88,22.84,34.07,90.73,7.02,Rainfed,0,194.07,43.33,136.56,3.55,3.73,0,1,0.0,3650.5,129.6,10.28,Midland,3794.52
rice,Kharif,Red Loam,5.69,267.85,25.5,231.2,1.98,4028.3,25.92,19.84,31.99,86.9,7.31,Canal,4,126.5,62.36,138.49,2.47,1.53,0,1,0.0,3020.3,396.6,6.53,Midland,4036.34
rice,Kharif,Clay Loam,5.74,115.15,45.36,293.37,3.12,3641.3,29.89,25.44,33.56,86.42,4.58,Drip,3,73.77,30.69,119.27,1.2,2.0,1,1,0.0,4068.8,255.0,29.44,Midland,3791.89
rice,Kharif,Red Loam,4.58,191.78,23.17,113.0,1.85,3425.9,29.29,22.36,35.68,68.93,3.74,Canal,5,60.14,67.26,95.66,2.45,3.94,0,1,0.0,3656.9,15.2,2.92,Coastal,3469.2
rice,Kharif,Laterite,4.97,189.27,11.77,111.17,1.67,3372.6,30.0,24.75,33.58,68.35,6.04,Rainfed,0,172.65,77.82,40.75,2.15,7.47,1,0,0.0,3071.5,646.6,10.11,Malnad,3448.04
rice,Kharif,Red Loam,5.97,285.32,52.1,163.07,0.84,3311.7,26.68,21.25,32.09,79.47,5.6,Drip,1,147.23,46.36,128.87,3.26,1.56,1,1,0.0,3271.9,82.7,27.74,Coastal,3797.72
rice,Kharif,Red Loam,4.51,133.35,38.93,188.64,1.78,4107.9,25.32,19.79,32.69,79.24,5.41,Drip,1,187.23,47.05,98.13,3.13,1.14,1,1,0.0,4158.8,624.3,27.02,Malnad,3868.32
rice,Kharif,Laterite,5.02,265.08,15.14,84.41,1.06,3383.3,22.31,18.63,30.53,84.88,3.68,Canal,4,117.12,42.96,54.41,4.48,3.2,1,0,0.0,4195.2,834.0,13.57,Malnad,3522.2
rice,Kharif,Laterite,6.07,109.19,34.48,196.69,2.66,3044.9,27.86,18.02,32.22,78.49,7.15,Drip,1,83.7,60.16,81.23,2.99,9.98,1,1,0.0,3095.3,478.7,31.66,Malnad,3571.88
rice,Kharif,Red Loam,5.09,348.55,46.68,165.52,3.04,3587.6,30.73,20.33,34.24,71.68,5.65,Drip,1,80.6,79.68,139.05,3.04,8.97,1,1,0.0,3742.2,492.7,30.87,Malnad,3865.59
rice,Kharif,Red Loam,5.82,318.82,47.88,148.17,2.74,3234.4,26.08,21.29,33.32,87.29,4.52,Canal,6,88.33,52.72,87.69,2.73,1.79,0,1,0.0,3664.7,530.6,19.21,Malnad,3686.14
rice,Kharif,Clay Loam,5.22,187.97,37.74,101.03,1.62,3277.0,24.23,19.43,31.07,69.62,7.05,Canal,6,180.74,43.44,46.27,0.93,3.12,0,1,0.0,3962.6,937.0,28.58,Malnad,3675.63
rice,Kharif,Clay Loam,4.81,140.96,39.19,153.36,3.26,3734.0,28.76,18.04,33.88,76.64,6.32,Canal,4,196.72,60.21,112.59,4.18,9.95,0,1,0.0,3106.3,154.2,16.0,Midland,3870.36
rice,Kharif,Red Loam,5.76,269.49,40.97,144.69,3.06,3662.0,26.9,22.84,31.63,79.26,6.23,Sprinkler,2,109.59,68.1,66.04,2.47,6.49,1,1,0.0,3931.0,822.7,13.75,Malnad,3812.02
rice,Kharif,Sandy Loam,5.08,268.77,45.89,174.93,3.13,3828.3,28.58,19.45,33.38,76.72,6.43,Canal,5,72.02,38.46,92.04,3.45,7.56,1,0,0.0,4032.2,278.3,8.91,Midland,3807.22
rice,Kharif,Laterite,5.84,341.2,59.96,289.64,2.74,3895.7,29.59,24.55,35.84,77.03,5.17,Sprinkler,3,152.37,66.53,135.76,2.32,3.95,1,0,0.0,3214.3,210.9,25.04,Midland,4022.62
rice,Kharif,Laterite,5.25,215.56,19.79,248.93,1.65,3411.3,24.52,19.1,31.71,79.3,7.37,Sprinkler,5,145.31,22.33,107.35,0.86,7.25,0,1,0.0,3596.4,895.4,14.6,Malnad,3695.4
rice,Kharif,Red Loam,6.35,208.25,18.34,247.8,1.39,3172.2,27.63,21.78,33.69,82.73,3.96,Drip,1,109.98,78.4,45.46,1.69,9.45,1,1,0.0,3514.2,72.2,19.65,Coastal,3559.6
rice,Kharif,Laterite,6.14,276.13,32.01,273.25,1.17,3312.4,26.9,18.3,30.48,75.73,7.28,Canal,7,125.24,28.53,59.59,2.01,2.5,0,1,0.0,4029.4,552.4,10.2,Malnad,3651.55
rice,Kharif,Clay Loam,4.69,329.62,43.43,134.35,2.45,3486.0,28.35,21.01,33.61,84.87,5.95,Sprinkler,2,69.15,38.3,87.33,1.6,6.69,0,1,0.0,3855.1,734.5,4.35,Malnad,3683.83
rice,Kharif,Red Loam,6.0,219.57,46.06,258.02,2.21,3316.4,23.42,18.23,34.94,68.34,5.04,Rainfed,0,106.8,71.93,92.55,4.49,7.5,1,0,0.0,3600.5,240.4,4.74,Midland,3587.73
rice,Kharif,Clay Loam,4.76,253.65,21.52,185.45,0.94,3816.7,27.41,21.5,31.95,72.52,6.71,Drip,2,141.16,57.69,50.34,3.92,7.81,1,1,0.0,4279.7,160.2,24.03,Midland,3714.83
rice,Kharif,Laterite,5.99,185.11,24.21,241.92,3.06,3859.0,28.4,19.46,35.32,85.24,5.57,Canal,5,139.68,69.7,121.65,3.92,5.32,1,1,0.0,3814.1,220.7,15.54,Midland,4037.15
rice,Kharif,Clay Loam,4.93,158.61,26.33,141.99,2.39,4062.7,28.37,19.54,35.37,82.07,4.38,Rainfed,0,110.63,67.4,121.28,2.81,1.88,1,0,0.0,3329.3,733.0,22.66,Malnad,3685.85
rice,Kharif,Laterite,5.73,249.7,39.31,221.22,3.0,4096.3,24.3,19.35,28.63,68.24,6.12,Drip,1,166.17,45.54,54.04,3.99,1.29,0,0,0.0,3652.3,945.5,14.59,Malnad,3793.56
rice,Kharif,Clay Loam,6.18,221.61,58.61,255.3,1.88,3457.5,31.29,24.36,35.35,85.46,5.74,Canal,3,104.69,53.48,42.0,2.25,7.68,0,0,0.0,3210.1,794.2,21.6,Malnad,3603.74
rice,Kharif,Laterite,4.81,308.81,35.45,202.54,3.19,3019.0,22.67,18.16,28.24,82.77,6.04,Drip,1,80.92,28.74,144.86,3.27,6.06,0,1,0.0,3996.9,84.9,34.94,Coastal,3614.77
rice,Kharif,Red Loam,5.51,164.36,21.32,200.9,0.99,3089.4,27.61,23.16,35.54,65.29,3.93,Sprinkler,3,178.79,77.27,134.66,3.21,2.4,0,0,0.0,3975.4,581.5,1.27,Malnad,3501.51
rice,Kharif,Clay Loam,6.31,325.4,19.85,163.73,1.16,3930.0,27.04,22.68,31.28,83.59,7.46,Sprinkler,4,69.63,55.31,59.78,0.62,3.68,0,1,0.0,2992.1,355.0,25.65,Midland,3788.09
rice,Kharif,Laterite,4.94,193.5,40.39,296.9,1.76,3066.8,23.95,19.75,33.6,86.34,4.0,Rainfed,0,78.9,26.73,134.29,1.34,6.61,1,1,0.0,3028.6,185.7,22.23,Midland,3550.2
rice,Kharif,Clay Loam,5.44,104.49,13.94,213.75,1.32,3833.1,29.85,24.68,33.27,77.3,7.29,Drip,2,76.37,50.15,141.46,2.26,8.46,1,0,0.0,3235.6,140.5,1.63,Midland,3583.08
rice,Kharif,Clay Loam,5.98,255.42,29.33,127.71,3.3,3617.8,26.81,22.79,32.19,88.06,6.95,Canal,4,73.28,78.54,86.85,0.51,5.24,1,1,0.0,4248.6,895.8,32.03,Malnad,3810.26
rice,Kharif,Clay Loam,6.33,110.61,50.11,110.1,1.28,3572.8,25.96,19.92,35.58,82.75,4.66,Drip,1,118.81,47.1,106.14,1.56,7.79,0,1,0.0,4093.4,592.4,7.24,Malnad,3518.41
rice,Kharif,Red Loam,5.5,327.4,44.7,164.0,1.44,3085.3,23.65,19.64,31.25,89.26,4.18,Canal,4,194.47,25.47,105.34,4.18,9.52,1,1,0.0,3963.7,619.6,7.71,Malnad,3797.03
rice,Kharif,Laterite,5.88,152.07,45.96,209.24,2.45,3367.2,23.55,18.97,32.69,74.13,4.68,Sprinkler,3,128.58,78.49,123.99,3.91,5.3,1,0,0.0,3979.7,685.0,14.76,Malnad,3638.91
rice,Kharif,Red Loam,4.85,302.89,22.93,138.16,3.31,3789.2,23.14,18.16,30.18,81.04,6.51,Rainfed,0,98.43,72.24,52.01,1.33,9.72,0,1,0.0,3627.8,668.7,2.56,Malnad,3767.27
rice,Kharif,Red Loam,4.72,259.79,20.54,97.06,3.49,3323.6,23.41,18.99,34.57,66.73,3.92,Drip,1,66.57,59.57,104.71,3.15,5.3,1,1,0.0,4045.3,872.8,17.0,Malnad,3502.35
rice,Kharif,Red Loam,6.2,126.91,38.25,239.79,2.83,3709.8,26.48,19.17,35.41,74.98,6.7,Drip,1,92.5,40.74,113.87,1.78,0.89,0,0,0.0,4015.8,167.2,7.13,Midland,3503.86
rice,Kharif,Sandy Loam,6.36,174.77,30.03,167.18,2.27,3701.1,24.48,19.97,31.97,65.19,5.87,Drip,2,95.07,22.27,128.79,4.41,1.23,1,1,0.0,4180.7,894.4,22.71,Malnad,3534.53
rice,Kharif,Clay Loam,4.63,231.44,16.48,181.43,3.38,3353.7,26.89,19.88,33.74,70.23,4.54,Rainfed,0,180.23,68.68,126.81,3.58,4.86,1,1,0.0,3185.8,95.7,13.77,Coastal,3689.66
rice,Kharif,Red Loam,5.91,228.04,55.97,100.03,2.66,3806.9,31.51,21.53,34.96,69.65,4.56,Drip,2,177.28,37.06,57.35,1.59,1.46,1,1,0.0,4201.3,293.1,8.64,Midland,3776.31
rice,Kharif,Laterite,6.33,227.14,10.15,128.15,3.29,3020.4,25.95,21.12,34.86,77.9,4.43,Canal,5,96.93,35.32,128.84,1.12,0.55,0,1,0.0,3872.4,669.8,27.34,Malnad,3546.98
rice,Kharif,Laterite,5.73,116.39,24.77,169.41,2.24,3583.8,29.18,21.4,35.63,75.27,5.6,Drip,1,103.47,71.99,76.69,1.51,5.66,0,1,0.0,4046.3,288.5,13.41,Midland,3632.48
rice,Kharif,Red Loam,5.66,291.71,47.29,120.77,1.61,3417.9,23.88,18.02,29.39,86.82,5.68,Drip,1,145.17,64.39,78.99,2.36,1.11,1,1,0.0,3830.1,411.8,14.79,Malnad,3710.5
rice,Kharif,Laterite,6.26,292.39,59.08,110.6,1.4,3647.1,24.36,18.08,31.22,72.77,4.56,Canal,7,93.38,27.77,53.79,3.73,7.29,0,0,0.0,4304.9,710.0,9.61,Malnad,3608.18
rice,Kharif,Red Loam,6.22,179.87,24.44,152.04,2.87,3207.9,25.82,18.12,34.75,74.2,4.49,Drip,2,158.7,68.77,78.26,3.75,4.92,0,1,0.0,4245.0,520.3,21.09,Malnad,3553.36
rice,Kharif,Clay Loam,5.5,151.22,24.85,231.06,1.96,3752.6,30.24,20.81,34.81,85.99,6.36,Drip,2,113.67,44.45,87.64,1.9,7.14,0,1,0.0,3027.9,740.0,10.44,Malnad,3727.01
rice,Kharif,Clay Loam,6.43,163.43,14.14,281.33,1.5,3865.8,22.61,18.76,29.02,83.78,5.63,Canal,7,65.17,37.52,47.65,4.02,6.14,1,0,0.0,3399.4,464.6,13.95,Malnad,3582.84
rice,Kharif,Clay Loam,5.06,250.13,17.07,105.75,2.52,4021.3,22.67,18.11,32.52,70.89,5.95,Canal,4,76.31,52.73,134.84,3.24,8.28,0,1,0.0,3610.8,358.2,29.84,Midland,3748.17
rice,Kharif,Laterite,5.64,119.75,56.5,139.72,1.71,3280.0,22.03,18.69,32.72,86.86,3.66,Drip,3,106.32,74.78,51.78,3.48,6.0,0,0,0.0,3651.7,574.5,0.93,Malnad,3457.26
rice,Kharif,Sandy Loam,5.14,185.29,46.58,285.0,3.43,4135.0,30.79,26.71,34.62,90.6,6.54,Drip,1,66.37,32.87,125.66,3.03,2.63,1,0,0.0,4292.7,780.7,27.8,Malnad,3876.53
rice,Kharif,Laterite,5.18,204.01,33.42,217.92,3.49,3720.0,31.27,20.36,34.96,78.62,4.79,Canal,7,161.6,48.73,122.64,2.37,0.66,1,1,0.0,3666.5,932.1,1.43,Malnad,3905.22
rice,Kharif,Clay Loam,4.94,223.45,10.04,269.8,0.83,3008.4,28.12,23.95,35.3,71.8,4.29,Sprinkler,4,175.17,41.72,87.56,0.96,1.95,1,0,0.0,3573.7,191.9,8.21,Midland,3544.88
rice,Kharif,Laterite,6.36,106.12,41.55,263.89,1.64,3157.8,22.43,18.64,32.42,71.19,6.83,Sprinkler,4,98.7,65.2,66.95,3.2,1.63,1,0,0.0,3957.3,543.8,6.04,Malnad,3423.38
rice,Kharif,Laterite,5.62,344.47,43.04,162.31,1.19,3183.4,25.63,20.59,28.86,88.01,7.27,Rainfed,0,184.43,74.78,41.69,4.41,3.98,1,0,0.0,3024.5,424.2,1.55,Malnad,3733.58
rice,Kharif,Clay Loam,5.56,231.36,47.44,155.17,2.86,3582.0,28.38,24.15,33.56,76.3,7.12,Canal,7,198.94,53.05,77.87,1.46,0.82,1,0,0.0,4262.3,576.3,32.08,Malnad,3917.72
rice,Kharif,Clay Loam,5.39,189.75,32.77,223.61,1.79,3930.0,31.04,20.55,35.93,81.81,7.01,Canal,3,95.21,39.26,73.31,1.19,8.75,1,1,0.0,3712.4,554.3,4.84,Malnad,3870.57
